Source,This Month,Last Month,This Season,Last Season,Date
TV Revenue,0,0,0,0,6/28/2021
Season Tickets,0,1980275,1980275,0,6/28/2021
Sponsorship,0,1741665,1741665,0,6/28/2021
Solidarity Payments,0,0,0,0,6/28/2021
Prize Money,0,0,0,0,6/28/2021
Players Sold,0,0,0,0,6/28/2021
Other,0,105000,105000,0,6/28/2021
Match Day Income,0,0,0,0,6/28/2021
Merchandising,0,0,0,0,6/28/2021
Investments,0,0,0,0,6/28/2021
Interest,0,0,0,0,6/28/2021
Gate Receipts,0,0,0,0,6/28/2021
Grants,0,0,0,0,6/28/2021
Fundraising,0,0,0,0,6/28/2021
Corporate Facilities Income,0,0,0,0,6/28/2021
Affiliate Club,0,0,0,0,6/28/2021
